team,matchday,standings,wins,goals,goal differential,points
1. FC Koeln,1,12,0,0,0,1
1. FC Koeln,2,4,1,2,2,4
1. FC Koeln,3,9,1,2,2,5
1. FC Koeln,4,8,1,2,2,6
1. FC Koeln,5,9,1,2,1,6
1. FC Koeln,6,13,1,2,-1,6
1. FC Koeln,7,14,1,4,-2,6
1. FC Koeln,8,11,2,6,-1,9
1. FC Koeln,9,10,3,7,0,12
1. FC Koeln,10,11,3,7,-1,12
1. FC Koeln,11,9,4,11,0,15
1. FC Koeln,12,11,4,12,-1,15
1. FC Koeln,13,12,4,13,-5,15
1. FC Koeln,14,12,4,14,-6,15
1. FC Koeln,15,11,5,16,-5,18
1. FC Koeln,16,10,5,16,-5,19
1. FC Koeln,17,11,5,17,-6,19
1. FC Koeln,18,10,6,19,-4,22
1. FC Koeln,19,10,6,19,-4,23
1. FC Koeln,20,11,6,19,-4,24
1. FC Koeln,21,11,6,19,-5,24
1. FC Koeln,22,13,6,20,-5,25
1. FC Koeln,23,13,6,21,-8,25
1. FC Koeln,24,11,7,25,-6,28
1. FC Koeln,25,12,7,25,-6,29
1. FC Koeln,26,12,7,26,-6,30
1. FC Koeln,27,13,7,26,-7,30
1. FC Koeln,28,11,8,29,-6,33
1. FC Koeln,29,12,8,29,-6,34
1. FC Koeln,30,12,8,30,-6,35
1. FC Koeln,31,11,8,30,-6,36
1. FC Koeln,32,10,9,32,-4,39
1. FC Koeln,33,12,9,32,-6,39
1. FC Koeln,34,12,9,34,-6,40
1. FSV Mainz 05,1,6,0,2,0,1
1. FSV Mainz 05,2,10,0,2,0,2
1. FSV Mainz 05,3,7,1,5,2,5
1. FSV Mainz 05,4,2,2,7,4,8
1. FSV Mainz 05,5,5,2,9,4,9
1. FSV Mainz 05,6,5,2,9,4,10
1. FSV Mainz 05,7,6,2,10,4,11
1. FSV Mainz 05,8,4,3,12,5,14
1. FSV Mainz 05,9,6,3,12,2,14
1. FSV Mainz 05,10,9,3,13,1,14
1. FSV Mainz 05,11,8,3,13,1,15
1. FSV Mainz 05,12,9,3,15,1,16
1. FSV Mainz 05,13,11,3,16,-2,16
1. FSV Mainz 05,14,11,3,17,-3,16
1. FSV Mainz 05,15,12,3,18,-3,17
1. FSV Mainz 05,16,11,3,18,-3,18
1. FSV Mainz 05,17,12,3,19,-4,18
1. FSV Mainz 05,18,11,4,24,1,21
1. FSV Mainz 05,19,12,4,25,1,22
1. FSV Mainz 05,20,13,4,25,-1,22
1. FSV Mainz 05,21,14,4,27,-3,22
1. FSV Mainz 05,22,11,5,30,-1,25
1. FSV Mainz 05,23,12,5,30,-3,25
1. FSV Mainz 05,24,13,5,32,-3,26
1. FSV Mainz 05,25,11,6,34,-1,29
1. FSV Mainz 05,26,11,6,35,-1,30
1. FSV Mainz 05,27,12,6,35,-1,31
1. FSV Mainz 05,28,13,6,37,-2,31
1. FSV Mainz 05,29,11,7,40,-1,34
1. FSV Mainz 05,30,10,8,42,1,37
1. FSV Mainz 05,31,10,8,43,0,37
1. FSV Mainz 05,32,12,8,43,-2,37
1. FSV Mainz 05,33,10,9,45,0,40
1. FSV Mainz 05,34,11,9,45,-2,40
Bayer Leverkusen,1,1,1,2,2,3
Bayer Leverkusen,2,1,2,6,4,6
Bayer Leverkusen,3,1,2,9,4,7
Bayer Leverkusen,4,5,2,10,1,7
Bayer Leverkusen,5,2,3,11,2,10
Bayer Leverkusen,6,3,3,11,2,11
Bayer Leverkusen,7,4,3,13,2,12
Bayer Leverkusen,8,6,3,16,2,13
Bayer Leverkusen,9,5,4,17,3,16
Bayer Leverkusen,10,5,4,17,2,16
Bayer Leverkusen,11,6,4,17,2,17
Bayer Leverkusen,12,4,5,20,4,20
Bayer Leverkusen,13,3,6,25,8,23
Bayer Leverkusen,14,4,6,25,7,23
Bayer Leverkusen,15,3,6,26,7,24
Bayer Leverkusen,16,4,7,27,8,27
Bayer Leverkusen,17,3,7,28,8,28
Bayer Leverkusen,18,6,7,28,8,29
Bayer Leverkusen,19,5,8,29,9,32
Bayer Leverkusen,20,6,8,30,8,32
Bayer Leverkusen,21,6,8,34,7,32
Bayer Leverkusen,22,6,8,36,7,33
Bayer Leverkusen,23,4,9,37,8,36
Bayer Leverkusen,24,4,10,40,11,39
Bayer Leverkusen,25,4,11,44,15,42
Bayer Leverkusen,26,4,12,45,16,45
Bayer Leverkusen,27,4,13,49,20,48
Bayer Leverkusen,28,4,14,52,21,51
Bayer Leverkusen,29,3,15,56,25,54
Bayer Leverkusen,30,4,15,57,25,55
Bayer Leverkusen,31,4,16,59,27,58
Bayer Leverkusen,32,4,16,59,24,58
Bayer Leverkusen,33,4,17,61,26,61
Bayer Leverkusen,34,4,17,62,25,61
Bayern Munich,1,3,1,2,1,3
Bayern Munich,2,5,1,3,1,4
Bayern Munich,3,2,2,5,3,7
Bayern Munich,4,4,2,5,3,8
Bayern Munich,5,1,3,9,7,11
Bayern Munich,6,1,4,11,9,14
Bayern Munich,7,1,5,15,13,17
Bayern Munich,8,1,6,21,19,20
Bayern Munich,9,1,6,21,19,21
Bayern Munich,10,1,7,23,20,24
Bayern Munich,11,1,8,27,24,27
Bayern Munich,12,1,9,31,28,30
Bayern Munich,13,1,10,32,29,33
Bayern Munich,14,1,11,33,30,36
Bayern Munich,15,1,12,37,34,39
Bayern Munich,16,1,13,39,36,42
Bayern Munich,17,1,14,41,37,45
Bayern Munich,18,1,14,42,34,45
Bayern Munich,19,1,14,43,34,46
Bayern Munich,20,1,15,45,36,49
Bayern Munich,21,1,16,53,44,52
Bayern Munich,22,1,17,59,50,55
Bayern Munich,23,1,18,63,53,58
Bayern Munich,24,1,19,66,55,61
Bayern Munich,25,1,20,70,59,64
Bayern Munich,26,1,20,70,57,64
Bayern Munich,27,1,21,71,58,67
Bayern Munich,28,1,22,74,61,70
Bayern Munich,29,1,23,76,63,73
Bayern Munich,30,1,24,77,64,76
Bayern Munich,31,1,24,77,62,76
Bayern Munich,32,1,24,77,61,76
Bayern Munich,33,1,24,78,60,76
Bayern Munich,34,1,25,80,62,79
Borussia Dortmund,1,17,0,0,-2,0
Borussia Dortmund,2,8,1,3,-1,3
Borussia Dortmund,3,4,2,6,1,6
Borussia Dortmund,4,10,2,6,-1,6
Borussia Dortmund,5,8,2,8,-1,7
Borussia Dortmund,6,12,2,9,-2,7
Borussia Dortmund,7,13,2,9,-3,7
Borussia Dortmund,8,14,2,10,-4,7
Borussia Dortmund,9,15,2,10,-5,7
Borussia Dortmund,10,17,2,11,-6,7
Borussia Dortmund,11,15,3,12,-5,10
Borussia Dortmund,12,16,3,14,-5,11
Borussia Dortmund,13,18,3,14,-7,11
Borussia Dortmund,14,14,4,15,-6,14
Borussia Dortmund,15,16,4,15,-7,14
Borussia Dortmund,16,16,4,17,-7,15
Borussia Dortmund,17,17,4,18,-8,15
Borussia Dortmund,18,18,4,18,-8,16
Borussia Dortmund,19,18,4,18,-9,16
Borussia Dortmund,20,16,5,21,-6,19
Borussia Dortmund,21,15,6,25,-4,22
Borussia Dortmund,22,12,7,28,-3,25
Borussia Dortmund,23,10,8,31,0,28
Borussia Dortmund,24,10,8,31,0,29
Borussia Dortmund,25,10,8,31,0,30
Borussia Dortmund,26,10,9,34,1,33
Borussia Dortmund,27,10,9,34,0,33
Borussia Dortmund,28,10,9,35,-2,33
Borussia Dortmund,29,9,10,38,1,36
Borussia Dortmund,30,8,11,40,3,39
Borussia Dortmund,31,9,11,41,3,40
Borussia Dortmund,32,7,12,43,5,43
Borussia Dortmund,33,7,12,44,4,43
Borussia Dortmund,34,7,13,47,5,46
Borussia Moenchengladbach,1,10,0,1,0,1
Borussia Moenchengladbach,2,11,0,1,0,2
Borussia Moenchengladbach,3,5,1,5,3,5
Borussia Moenchengladbach,4,7,1,5,3,6
Borussia Moenchengladbach,5,6,2,6,4,9
Borussia Moenchengladbach,6,2,3,8,5,12
Borussia Moenchengladbach,7,3,3,9,5,13
Borussia Moenchengladbach,8,2,4,12,8,16
Borussia Moenchengladbach,9,2,4,12,8,17
Borussia Moenchengladbach,10,3,5,15,10,20
Borussia Moenchengladbach,11,3,5,15,9,20
Borussia Moenchengladbach,12,3,5,16,7,20
Borussia Moenchengladbach,13,5,5,16,6,20
Borussia Moenchengladbach,14,6,6,19,7,23
Borussia Moenchengladbach,15,5,6,20,7,24
Borussia Moenchengladbach,16,3,7,24,10,27
Borussia Moenchengladbach,17,4,7,25,9,27
Borussia Moenchengladbach,18,3,8,26,10,30
Borussia Moenchengladbach,19,3,9,27,11,33
Borussia Moenchengladbach,20,5,9,27,10,33
Borussia Moenchengladbach,21,3,10,28,11,36
Borussia Moenchengladbach,22,3,10,29,11,37
Borussia Moenchengladbach,23,3,11,31,13,40
Borussia Moenchengladbach,24,3,11,33,13,41
Borussia Moenchengladbach,25,3,12,35,15,44
Borussia Moenchengladbach,26,3,13,37,17,47
Borussia Moenchengladbach,27,3,14,41,20,50
Borussia Moenchengladbach,28,3,15,44,22,53
Borussia Moenchengladbach,29,4,15,44,22,54
Borussia Moenchengladbach,30,3,16,45,23,57
Borussia Moenchengladbach,31,3,17,47,24,60
Borussia Moenchengladbach,32,3,18,50,27,63
Borussia Moenchengladbach,33,3,19,52,29,66
Borussia Moenchengladbach,34,3,19,53,27,66
Eintracht Frankfurt,1,5,1,1,1,3
Eintracht Frankfurt,2,5,1,3,1,4
Eintracht Frankfurt,3,10,1,3,0,4
Eintracht Frankfurt,4,12,1,5,0,5
Eintracht Frankfurt,5,10,1,7,0,6
Eintracht Frankfurt,6,7,2,9,1,9
Eintracht Frankfurt,7,5,3,12,2,12
Eintracht Frankfurt,8,8,3,13,0,12
Eintracht Frankfurt,9,11,3,17,-1,12
Eintracht Frankfurt,10,12,3,17,-2,12
Eintracht Frankfurt,11,12,3,17,-6,12
Eintracht Frankfurt,12,12,4,20,-4,15
Eintracht Frankfurt,13,9,5,22,-2,18
Eintracht Frankfurt,14,7,6,27,1,21
Eintracht Frankfurt,15,8,6,29,0,21
Eintracht Frankfurt,16,9,6,33,0,22
Eintracht Frankfurt,17,9,6,34,0,23
Eintracht Frankfurt,18,9,6,35,-3,23
Eintracht Frankfurt,19,9,6,36,-3,24
Eintracht Frankfurt,20,9,6,38,-3,25
Eintracht Frankfurt,21,9,7,39,-2,28
Eintracht Frankfurt,22,9,7,40,-4,28
Eintracht Frankfurt,23,8,8,42,-3,31
Eintracht Frankfurt,24,9,8,44,-5,31
Eintracht Frankfurt,25,8,9,48,-1,34
Eintracht Frankfurt,26,8,9,49,-3,34
Eintracht Frankfurt,27,8,9,51,-3,35
Eintracht Frankfurt,28,8,9,51,-6,35
Eintracht Frankfurt,29,10,9,51,-6,36
Eintracht Frankfurt,30,11,9,51,-8,36
Eintracht Frankfurt,31,12,9,51,-9,36
Eintracht Frankfurt,32,11,10,54,-7,39
Eintracht Frankfurt,33,11,10,54,-7,40
Eintracht Frankfurt,34,9,11,56,-6,43
FC Augsburg,1,17,0,0,-2,0
FC Augsburg,2,18,0,2,-3,0
FC Augsburg,3,12,1,3,-2,3
FC Augsburg,4,9,2,7,0,6
FC Augsburg,5,11,2,7,-1,6
FC Augsburg,6,8,3,8,0,9
FC Augsburg,7,10,3,8,-1,9
FC Augsburg,8,12,3,9,-2,9
FC Augsburg,9,9,4,11,0,12
FC Augsburg,10,10,4,11,-1,12
FC Augsburg,11,7,5,14,2,15
FC Augsburg,12,6,6,15,3,18
FC Augsburg,13,4,7,18,5,21
FC Augsburg,14,3,8,20,6,24
FC Augsburg,15,4,8,20,2,24
FC Augsburg,16,6,8,20,0,24
FC Augsburg,17,6,9,22,1,27
FC Augsburg,18,5,10,25,3,30
FC Augsburg,19,4,11,26,4,33
FC Augsburg,20,4,11,28,4,34
FC Augsburg,21,5,11,30,3,34
FC Augsburg,22,5,11,32,3,35
FC Augsburg,23,6,11,32,2,35
FC Augsburg,24,6,12,33,3,38
FC Augsburg,25,6,12,33,1,38
FC Augsburg,26,6,12,33,-1,38
FC Augsburg,27,6,12,33,-1,39
FC Augsburg,28,6,12,34,-2,39
FC Augsburg,29,6,13,36,-1,42
FC Augsburg,30,6,13,38,-2,42
FC Augsburg,31,6,13,38,-2,43
FC Augsburg,32,5,14,39,-1,46
FC Augsburg,33,6,14,40,-2,46
FC Augsburg,34,5,15,43,0,49
Hamburger SV,1,12,0,0,0,1
Hamburger SV,2,17,0,0,-3,1
Hamburger SV,3,18,0,0,-5,1
Hamburger SV,4,17,0,0,-5,2
Hamburger SV,5,18,0,0,-6,2
Hamburger SV,6,18,0,1,-7,2
Hamburger SV,7,17,1,2,-6,5
Hamburger SV,8,16,1,3,-6,6
Hamburger SV,9,16,1,3,-9,6
Hamburger SV,10,14,2,4,-8,9
Hamburger SV,11,17,2,4,-10,9
Hamburger SV,12,15,3,6,-8,12
Hamburger SV,13,17,3,7,-10,12
Hamburger SV,14,13,4,9,-9,15
Hamburger SV,15,14,4,9,-9,16
Hamburger SV,16,14,4,9,-10,16
Hamburger SV,17,14,4,9,-10,17
Hamburger SV,18,16,4,9,-12,17
Hamburger SV,19,13,5,12,-9,20
Hamburger SV,20,12,6,14,-8,23
Hamburger SV,21,13,6,14,-16,23
Hamburger SV,22,14,6,15,-16,24
Hamburger SV,23,15,6,16,-17,24
Hamburger SV,24,15,6,16,-17,25
Hamburger SV,25,15,6,16,-20,25
Hamburger SV,26,16,6,16,-21,25
Hamburger SV,27,16,6,16,-25,25
Hamburger SV,28,18,6,16,-27,25
Hamburger SV,29,18,6,16,-28,25
Hamburger SV,30,16,7,19,-27,28
Hamburger SV,31,14,8,21,-26,31
Hamburger SV,32,14,8,22,-26,32
Hamburger SV,33,17,8,23,-27,32
Hamburger SV,34,16,9,25,-25,35
Hannover 96,1,3,1,2,1,3
Hannover 96,2,7,1,2,1,4
Hannover 96,3,3,2,4,3,7
Hannover 96,4,6,2,4,1,7
Hannover 96,5,3,3,5,2,10
Hannover 96,6,6,3,5,1,10
Hannover 96,7,8,3,5,-3,10
Hannover 96,8,10,3,5,-6,10
Hannover 96,9,7,4,6,-5,13
Hannover 96,10,6,5,7,-4,16
Hannover 96,11,4,6,9,-2,19
Hannover 96,12,5,6,10,-4,19
Hannover 96,13,8,6,13,-5,19
Hannover 96,14,9,6,14,-7,19
Hannover 96,15,9,6,17,-7,20
Hannover 96,16,8,7,19,-5,23
Hannover 96,17,8,7,21,-5,24
Hannover 96,18,8,7,21,-6,24
Hannover 96,19,8,7,22,-6,25
Hannover 96,20,10,7,23,-7,25
Hannover 96,21,10,7,24,-8,25
Hannover 96,22,10,7,25,-8,26
Hannover 96,23,11,7,26,-8,27
Hannover 96,24,12,7,27,-10,27
Hannover 96,25,13,7,27,-12,27
Hannover 96,26,14,7,29,-13,27
